document,line,disposition,findings,review_note,source_text
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,33,structural,F05 F08 F09 F12,Recovery persistence contract lacks concrete fields/lifecycle.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,34,finding,F05 F08 F09 F12,Recovery persistence contract lacks concrete fields/lifecycle.,"Add a composite-owned `operation_recovery` row before the first Gmail side effect. Persist operation id, tool/result kind, credential version, start time, Message-ID, optional original draft and thread ids, policy-safe audit context, mode, scheduling deadline and bounded attempt count. Do not retain the canonical send payload, subject, recipients or body in this row. Store any session URI encrypted with the existing keyring, with AAD containing owner, account, operation id and field/version. A saved key id supports rotation. Legacy operations without sufficient context remain manual."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,35,structural,F02,Expected credential version must reach the token boundary.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,36,finding,F02,Expected credential version must reach the token boundary.,"Capture account status and credential version when binding this row and beginning execution, in one asserted D1 transaction. Reconciliation must not borrow a reconnected account's authority: inactive account, deleted account or a changed version suspends the row for owner review. Ordinary policy edits cannot erase evidence of an already attempted send; reconciliation performs observation and local bookkeeping, never another send."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,37,structural,F08,Qualification trust and build identity need a defined writer.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,38,finding,F08,Qualification trust and build identity need a defined writer.,"A protected qualification record enables each recovery mode for one Worker origin, release revision, account id and credential version. Separate modes cover generated Message-ID search, draft Message-ID preservation and session-status recovery. Missing or mismatched evidence disables the mode. The model cannot write this record. Reconnection and a new release require qualification again."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,39,structural,F01,Exact header and time match do not establish draft causality.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,40,structural,F01,Exact header and time match do not establish draft causality.,### Candidate rules
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,41,structural,F01,Exact header and time match do not establish draft causality.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,42,finding,F01,Exact header and time match do not establish draft causality.,"Generated-message reconciliation searches the same account using the recorded Message-ID and `SENT`, then fetches candidate metadata. Require a single exact Message-ID header, the `SENT` label, the expected account, and a timestamp compatible with the operation's start. Use a two-minute lower-bound clock tolerance and a fixed 24-hour search horizon. Validate Message-ID as a single bounded header value before constructing the query. Escape or reject search syntax; do not interpolate arbitrary stored text into Gmail search."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,43,structural,F01,Exact header and time match do not establish draft causality.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,44,finding,F01,Exact header and time match do not establish draft causality.,"Fetch at most two candidates. A further page, multiple candidates, duplicate Message-ID headers, missing metadata or a conflicting result leaves the operation unknown. An empty result is inconclusive even after the search window. It never authorizes resend or releases an idempotency key as failed-safe."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,45,structural,F01,Thread-only improvement acknowledged; reused Message-ID counterexample remains.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,46,finding,F01,Thread-only improvement acknowledged; reused Message-ID counterexample remains.,"For `send_draft`, thread id and start time narrow the candidates but never establish delivery by themselves. Require the recorded draft's exact Message-ID under a separately passing live preservation test. Missing/rewritten/non-unique identifiers leave draft delivery manual. Do not modify and resend an existing draft merely to add a marker. Draft create/update and label creation remain outside automatic search reconciliation; their current ambiguous states remain truthful."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,47,structural,F01,Thread-only improvement acknowledged; reused Message-ID counterexample remains.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,48,finding,F01,Thread-only improvement acknowledged; reused Message-ID counterexample remains.,"This explicitly strengthens the original spec's thread-only draft fallback. Amend sections 3.5 and 4.7 when this design is approved, not during draft creation."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,49,structural,F06 F07 F09,"Scheduling limits, Retry-After and terminal cleanup need distinct contracts.",
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,50,structural,F06 F07 F09,"Scheduling limits, Retry-After and terminal cleanup need distinct contracts.",### Scheduling and settlement
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,51,structural,F06 F07 F09,"Scheduling limits, Retry-After and terminal cleanup need distinct contracts.",
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,52,finding,F06 F07 F09,"Scheduling limits, Retry-After and terminal cleanup need distinct contracts.","Use a fixed `deadline = started_at + 24 hours`; updating `updated_at` must not extend it. Run no earlier than the existing stale-operation boundary. Per cron, admit at most ten recovery operations globally, two per account, and at most thirty Gmail HTTP requests including retries. Do not sleep through backoff inside cron: persist `next_attempt_at`, honoring Retry-After and a maximum 30-minute interval, with at most 288 admitted attempts per operation. A metadata fetch deferred by the request budget resumes on a later run."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,53,structural,F06,Transport request and body limits are not implemented by a lease.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,54,finding,F06,Transport request and body limits are not implemented by a lease.,A D1 lease lasts 60 seconds and carries a random fencing token. Bound each Google request to 15 seconds and one recovery attempt to 45 seconds. Late responses lose the settlement CAS. Read-only probes may overlap after expiry without causing a Gmail mutation; byte writers have stricter rules in Phase B.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,55,structural,F05 F09,Typed evidence and one-time normalized settlement/lifecycle required.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,56,finding,F05 F09,Typed evidence and one-time normalized settlement/lifecycle required.,"Settle success in one D1 batch: assert owner/account/version, recovery fence, eligible operation state and evidence; set the exact normal tool result; consume held staging handles; finish the linked pending row if it is executing or failed specifically with `delivery_unknown`; insert one uniquely keyed recovery outcome; mark recovery complete. A terminal same-result replay returns the stored result without another audit. A different result is a conflict. Expired or purged staging rows do not turn proven delivery into failure. Never recreate attachment bytes or handles to make settlement succeed."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,57,structural,F04 F13,Success and failure paths plus old writers must share the winner.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,58,finding,F04 F13,Success and failure paths plus old writers must share the winner.,Use the same winner rule when a late direct Gmail response races cron. A losing writer reads the durable outcome. Generic staging-upload recovery is excluded from these tables and queries.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,59,structural,,Provider status and conservative restart distinction supported.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,60,structural,,Provider status and conservative restart distinction supported.,## B. Resumable session recovery
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,61,structural,,Provider status and conservative restart distinction supported.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,62,reviewed_no_finding,,Provider status and conservative restart distinction supported.,Google documents status probes and confirmed byte ranges for resumable sessions. Its generic restart guidance must not be treated as evidence that a Gmail send had no side effect. See [Gmail uploads](https://developers.google.com/workspace/gmail/api/guides/uploads).
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,63,structural,F10,Raw URL validation and concrete endpoint grammar needed.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,64,finding,F10,Raw URL validation and concrete endpoint grammar needed.,"Before sending authorization, validate a session URL against HTTPS, exact `gmail.googleapis.com` or `www.googleapis.com` host, port absent/443, no userinfo or fragment, and the exact known send/draft upload endpoint plus a bounded opaque upload id. Reject encoded path separators, dot segments, duplicate security parameters and unknown query keys. Qualify actual provider paths with a scratch account; unsupported paths fail closed and require an explicit reviewed allowlist amendment. Disable redirects, including status probes."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,65,structural,F05 F11,Status grammar and typed final-receipt path incomplete.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,66,finding,F05 F11,Status grammar and typed final-receipt path incomplete.,"Persist the validated encrypted session before opening its first byte request. Session-init success followed by journal failure may orphan an empty session, but must send no MIME bytes. A zero-byte status probe carries the exact recorded total length. Map a final successful response to validated result evidence, an incomplete response to its confirmed offset, and missing/expired/invalid sessions to unknown. Validate ranges against total size and prior confirmed progress; never guess an offset from locally sent bytes."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,67,structural,,Immutable MIME requirement is sound; not claimed implemented.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,68,reviewed_no_finding,,Immutable MIME requirement is sound; not claimed implemented.,"Phase A implements these status observations but sends no additional MIME bytes. To enable Phase B, implement and qualify all of these conditions:"
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,69,structural,,Immutable MIME requirement is sound; not claimed implemented.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,70,reviewed_no_finding,,Immutable MIME requirement is sound; not claimed implemented.,"1. Materialize the exact serialized MIME once, including boundary, date and Message-ID, before the first Gmail byte request. Persist it privately as encrypted, bounded chunks in R2. Bind a manifest to owner/account/operation, total size and digest. Reconstruction from a live draft or newly generated MIME is forbidden."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,71,finding,F09,Retention expiry is distinct from debt and record cleanup.,"2. Reserve encoded bytes before materialization, within the existing 250 MiB owner / 500 MiB global retained-byte budget. Charge the encrypted overhead too. Permit one MIME materialization/writer globally and one retained recovery MIME per owner. Keep for at most 24 hours; preserve cleanup debt when a writer's termination is unknown. R2 lifecycle is a fallback, not proof of cleanup."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,72,finding,F03,A settled local promise is not proof of remote termination.,3. Resume only the same stored session and only the server-confirmed suffix of the immutable MIME. Persist writer ownership before each request. A completed local promise or definitive transport termination can release writer ownership; lease expiry alone cannot. An isolate crash with uncertain transport remains status-only/manual. No new session after any message bytes might have reached Gmail.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,73,finding,F04,Continuation needs phase-aware failure classification.,"4. Recheck account version and original execution identity, use a CAS for each writer admission, and cap continuation at three byte requests total per operation. No second quota charge, new operation, approval, Message-ID or rate-limit accounting event may be introduced by continuation."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,74,finding,F04,Continuation needs phase-aware failure classification.,"5. Test and measure encrypted chunk reads, provider range behavior, late completion and cleanup. If the immutable MIME or any safety proof is unavailable, retain status-only recovery and mark Phase B incomplete."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,75,structural,F12,"Phase B is an explicit deferred subplan, not execution-ready.",
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,76,finding,F12,"Phase B is an explicit deferred subplan, not execution-ready.","Phase B requires its own concrete implementation subplan after Phase A and scratch-provider evidence establish the session contract. This is an explicit sequencing gate, not permission to declare resumable continuation implemented by merely persisting a URL."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,77,structural,F12,Fault matrix requires executable assertions and fixtures.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,78,structural,F12,Fault matrix requires executable assertions and fixtures.,## C. Fault and release qualification
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,79,structural,F12,Fault matrix requires executable assertions and fixtures.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,80,finding,F12,Fault matrix requires executable assertions and fixtures.,"Build the following matrix with assertions on Gmail mutation count, operation/pending state, handle reservations, idempotency result and audit count: operation insert; approval claim; reservation; MIME creation; headers sent; partial body; Gmail success before reply; reply before settlement; individual settlement statement failure; commit before response; direct completion racing cron; two cron workers; account revoke/reconnect; session expiry; indexing lag; duplicate search candidates."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,81,structural,F08 F12,Runner boundary sound; executable qualification trust path incomplete.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,82,finding,F08 F12,Runner boundary sound; executable qualification trust path incomplete.,"Normal CI remains synthetic and secret-free. Add native verification on a runner that actually meets macOS 26.6 and required filesystem primitives. An unavailable runner records a missing release gate, never a skipped pass. Do not assume a hosted `macos-latest` image satisfies the platform floor."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,83,structural,F08 F12,Runner boundary sound; executable qualification trust path incomplete.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,84,finding,F08 F12,Runner boundary sound; executable qualification trust path incomplete.,"Protected qualification uses dedicated scratch mailboxes with no real mail. Record exact sender and recipient before each authorized run; only those addresses may receive fixtures. Never run on forks or untrusted PR revisions. Keep raw credentials, session URIs, MIME, mailbox ids and traces private; commit only a redacted evidence summary bound to the tested revision. Test harnesses must refuse missing target/origin/recipient constraints before obtaining a credential or sending anything."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,85,structural,F12,Live and resource gates need concrete procedures and acceptance thresholds.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,86,finding,F12,Live and resource gates need concrete procedures and acceptance thresholds.,"Required evidence: generated and draft Message-ID preservation; send/receive digest round trip; reply threading; Google revocation; session probe/continuation semantics; 25 MiB send and download, measuring encoded size separately; deployed CPU/resource outcomes; real Keychain login/logout; Claude Code, Desktop and claude.ai approval behavior; stdio companion save/stage; overwrite refusal; app interruption and physical power-loss behavior on the intended filesystem. Record client/OS/Worker versions and elapsed time, including the current 120-second approval wait versus observed client timeouts."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,87,structural,F12,Live and resource gates need concrete procedures and acceptance thresholds.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,88,finding,F12,Live and resource gates need concrete procedures and acceptance thresholds.,"Workers memory is limited per isolate, so a successful 25 MiB R2 test alone cannot establish the complete MIME/Gmail path. Use profiler evidence where available plus deployed resource-error observations; do not report process RSS as isolate peak memory. See [Workers limits](https://developers.cloudflare.com/workers/platform/limits/). If a hard numerical measurement is unavailable, record that limit of the evidence and keep the corresponding gate open."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,89,structural,F08 F09 F13,Rollback and qualification need explicit epochs and retention rules.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,90,structural,F08 F09 F13,Rollback and qualification need explicit epochs and retention rules.,## Delivery and rollback
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,91,structural,F08 F09 F13,Rollback and qualification need explicit epochs and retention rules.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,92,finding,F08 F09 F13,Rollback and qualification need explicit epochs and retention rules.,"Keep recovery modes disabled until their matching evidence exists. Deploy schema additions before compatible code; rollback disables recovery and preserves journal/debt records. Never roll back by deleting ambiguous operations. Publish an evidence ledger with pass/fail/not-run, tested revision, sanitized artifact hash and exact command for each gate. An unavailable credential, client or device is `not-run`."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,93,structural,F08 F09 F13,Rollback and qualification need explicit epochs and retention rules.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,94,finding,F08 F09 F13,Rollback and qualification need explicit epochs and retention rules.,"Automatic continuation and a production-readiness claim require all applicable gates to pass. A local implementation can be delivered with release gates still open, but the release remains pre-release."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,95,structural,F11,Sources checked; upload guide has inconsistent Range examples.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,96,structural,F11,Sources checked; upload guide has inconsistent Range examples.,## References checked during planning
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,97,structural,F11,Sources checked; upload guide has inconsistent Range examples.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,98,finding,F11,Sources checked; upload guide has inconsistent Range examples.,- [Gmail messages.list](https://developers.google.com/workspace/gmail/api/reference/rest/v1/users.messages/list) documents the Message-ID query operator; it does not prove indexing latency or Message-ID preservation for this application.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,99,finding,F11,Sources checked; upload guide has inconsistent Range examples.,"- [Gmail resumable uploads](https://developers.google.com/workspace/gmail/api/guides/uploads) documents session persistence, status queries and confirmed ranges. Scratch tests must establish the exact endpoints/results the pinned client encounters."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,100,finding,F11,Sources checked; upload guide has inconsistent Range examples.,- [Workers limits](https://developers.cloudflare.com/workers/platform/limits/) supplies platform limits; the deployed tier/configuration and actual workload still require measurement.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,1,structural,,"Draft scope, baseline and references reviewed.",# Plan 5: Delivery Recovery and Release Qualification Implementation Plan
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,2,structural,,"Draft scope, baseline and references reviewed.",
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,3,reviewed_no_finding,,"Draft scope, baseline and references reviewed.","> **For agentic workers:** Use `superpowers:executing-plans` inline, following the owner's existing execution preference. This is a draft for review, not approval to implement or run live sends. Track steps with checkboxes and keep Phase B and release qualification open until their evidence exists."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,4,structural,,"Draft scope, baseline and references reviewed.",
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,5,reviewed_no_finding,,"Draft scope, baseline and references reviewed.","**Goal:** Recover positively identified Gmail deliveries, safely inspect interrupted uploads, and qualify the complete Worker/companion release."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,6,structural,,"Draft scope, baseline and references reviewed.",
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,7,reviewed_no_finding,,"Draft scope, baseline and references reviewed.",**Architecture:** The Worker persists operation-bound recovery context before Gmail side effects. Bounded cron jobs observe Gmail and settle verified results through an asserted D1 transaction. Same-session byte continuation follows only after immutable MIME storage and writer termination have a separate reviewed implementation subplan.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,8,structural,,"Draft scope, baseline and references reviewed.",
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,9,reviewed_no_finding,,"Draft scope, baseline and references reviewed.","**Tech Stack:** Existing pinned TypeScript, Vitest/workerd, D1, R2, keyring, Gmail HTTP adapter and Swift package. No new dependency is selected by this draft."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,10,structural,,"Draft scope, baseline and references reviewed.",
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,11,reviewed_no_finding,,"Draft scope, baseline and references reviewed.","**Spec:** [Plan 5 recovery design](../specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md), plus original design sections 3.5, 3.7, 3.9 and 4.7."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,12,structural,,"Draft scope, baseline and references reviewed.",
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,13,structural,,Numerical inherited limits checked against baseline.,## Global constraints
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,14,structural,,Numerical inherited limits checked against baseline.,
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,15,reviewed_no_finding,,Numerical inherited limits checked against baseline.,- Baseline `6e78bc5`; retain the existing owner/account scope boundaries and Plan 4 recovery.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,16,reviewed_no_finding,,Numerical inherited limits checked against baseline.,"- Filesystem baseline: macOS 26.6+, local APFS/HFS, overwrite denied; companion Node 22.18+."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,17,reviewed_no_finding,,Numerical inherited limits checked against baseline.,"- Attachment maximum 26,214,400 bytes; encoded Gmail MIME maximum 36,700,160 bytes."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,18,reviewed_no_finding,,Numerical inherited limits checked against baseline.,"- Existing retained-byte limits: 262,144,000 per owner and 524,288,000 globally. Recovery MIME must share these limits, not add another pool."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,19,finding,F04,No-resend law must change inherited failure classification.,"- No automatic resend, session replacement after possible delivery, or unknown-to-failed-safe transition based on missing evidence."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,20,finding,F06 F07,Bounded scheduling needs a transport and shared-scope contract.,- Recovery horizon 24 hours from first execution; 60-second read lease; 45-second attempt; 15-second HTTP request.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,21,finding,F06 F07,Bounded scheduling needs a transport and shared-scope contract.,"- Per cron: at most ten operations, two per account, thirty HTTP requests including retries. Maximum 288 admitted attempts per operation."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,22,finding,F06 F07,Bounded scheduling needs a transport and shared-scope contract.,- Existing five-minute cron and two-minute stale-operation boundary remain unless measurements justify a reviewed change.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,23,reviewed_no_finding,,"Privacy, migration and authorization constraints retained.","- No tokens, session URLs, raw MIME or mailbox traces in logs, model results, repository artifacts or command arguments."
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,24,reviewed_no_finding,,"Privacy, migration and authorization constraints retained.",- Use append-only migration `0005_operation_recovery.sql`. D1 preconditions must fail the transaction through `_assert`.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,25,reviewed_no_finding,,"Privacy, migration and authorization constraints retained.",- Live sends and deployment require an authorized concrete target. A planning request supplies neither.
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,26,structural,F02 F04 F12,File map omits token/gate integration and leaves qualification runner open.,
plans/2026-09-13-gmail-mcp-plan-5-recovery-and-release.md,27,structural,F02 F04 F12,File map omits token/gate integration and leaves qualification runner open.,## File map
